COD_EMPRESA;NOME_EMPRESA;COD_TAB_PRECO;NOME_TAB_PRECO;DT_VIGOR;PRECO;TIPO;COD_PRODUTO;DESCRICAO;MARCA;COD_FORNECEDOR;NOME_FORNECEDOR;COD_ITEM_NBS;PARTNUMBER;MARGEM;DESP_VARIAVEL;TIPO_PRECIFICACAO;NIVEL_MARGEM;GRUPO_DESCONTO;ESTOQUE;CUSTO_MEDIO;VALOR_ESTOQUE;CUSTO_OPE;PIS_COFINS;ICMS
7;SA;;;;;;1739;ABRACADEIRA CANO INJETOR 0001739;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS15269.0;960709770014E;;;;;MWM1;2;;1,3;;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;3,11;Valor;4512;ABRACADEIRA 0004512;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS12512.0;904015480012E;;;Não Atualiza Preço na Entrada;;MWM1;17;;14,9175;;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;250,3;Valor;1471;ALAVANCA ESTICADOR CORREIA 0001471;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2RD903139.0;922906400014E;;;Não Atualiza Preço na Entrada;;MWM1;5;105,236;526,18;105,236;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;171,7;Valor;3776;ALCA LEVANTAMENTO MOTOR 0003776;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS12561.0;961206200014E;;;Não Atualiza Preço na Entrada;;MWM1;2;32,57;65,14;32,57;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;10,14;Valor;2271;ANEL BOMBA OLEO TURBO 0002271;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TL7115281.0;904931360251E;;;Não Atualiza Preço na Entrada;;MWM1;4;;2,56;;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;15,52;Valor;3959;ANEL CALCO CAMISA 0,15MM MOTOR MWM D/TD229 0003959;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;T06107121.0;922953400234E;;;Não Atualiza Preço na Entrada;;MWM1;6;6,3942;38,3652;6,3942;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;42,11;Valor;3885;ANEL COMPRESSAO COLETOR MOTOR MWM X10/X12 0003885;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TAR129597.0;961003400114E;;;;;MWM1;30;23,7045;711,135;23,7045;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;42,11;Valor;4342;ANEL COMPRESSAO COLETOR MOTOR MWM X10/X12 0004342;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TAR129597.1;961003400114E;;;Não Atualiza Preço na Entrada;;MWM1;2;17,946;35,892;17,946;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;27,18;Valor;779;ANEL CURVA ADMISSAO 0000779;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;JS15161.0;940708530054E;;;Não Atualiza Preço na Entrada;;MWM1;8;7,4134;59,3072;7,4134;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;56,63;Valor;4453;ANEL CAMISA MOTOR MWM NGD9.3E 370CV 0004453;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2U2103196A.0;1842115C1E;;;Não Atualiza Preço na Entrada;;MWM3;22;29,9012;657,8264;29,8683;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;16,62;Valor;1705;ANEL CAMISA MOTOR MWM X10 0001705;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TAE107125.1;904931361131E;;;Não Atualiza Preço na Entrada;;MWM1;454;8,2297;3736,2838;8,2198;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;60,59;Valor;4359;ANEL DE VEDACAO INOX 0,40MM MOTOR MWM X10/X12 0004359;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2R0103548G.1;961083400414E;;;Não Atualiza Preço na Entrada;;MWM1;40;32,3226;1292,904;32,3226;;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;6,53;Valor;3730;ANEL DE VEDACAO MOTOR MWM SPRINT 0003730;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;062121119B.0;904931071061E;;;Não Atualiza Preço na Entrada;;MWM1;43;2,6612;114,4316;2,6612;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;3,03;Valor;61;ANEL DE VEDACAO 0000061;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;TAE130231.0;906906499002E;;;Não Atualiza Preço na Entrada;;MWM1;5;;4,1435;;9,25;
7;SA;7001;SALVADOR-BA-BASE;01/06/2021;3,24;Valor;1399;ANEL DE VEDACAO 4.07/4.08 0001399;MWM;100;INTERNATIONAL IND AUT DA AMERICA DO SUL LTDA MWM;2P0121437B.0;604931170281E;;;Não Atualiza Preço na Entrada;;MWM1;26;1,0783;28,0358;1,0783;9,25;
